"market_area","property_id","address","db_market","tcad_market","db_land","tcad_land","db_improvement","tcad_improvement","db_net_appraised","tcad_net_appraised","db_living_area","tcad_visible_area","db_class","tcad_class","db_year_built","tcad_year_built","result","note"
"A5850","873942","3417 KOTCHE ST","317873","317873","102659","102659","215214","215214","317873","317873","1480","1480","R5","R5","2019","2019","PASS",""
"A5850","778024","3508 BACH DR","363654","363654","98917","98917","264737","264737","363654","363654","2088","2088","R5","R5","2012","2012","PASS",""
"A5850","863886","3501 STEPHANS ST","432592","432592","102529","102529","330063","330063","432592","432592","2570","2570","R5","R5","2016","2016","PASS",""
"B16000","188602","4741 CASTLEMAN DR","239261","239261","75000","75000","164261","164261","239261","239261","1548","1548","R5","R5","1997","1997","PASS",""
"B16000","530023","4003 SOJOURNER ST","285017","285017","75000","75000","210017","210017","285017","285017","2112","2112","R5","R5","2002","2002","PASS",""
"B17000","966150","13720 HOWSER TRCE","308801","308801","79355","79355","229446","229446","308801","308801","1846","1846","R5","R5","2023","2023","PASS",""
"B17000","998244","20001 HIRONO DR","346654","346654","77188","77188","269466","269466","346654","346654","1830","1830","R5","R5","2025","2025","PASS",""
"B17000","966244","13525 WILLIAM TYLER WAY","404169","404169","120795","120795","283374","283374","404169","404169","2483","2483","R5","R5","2023","2023","PASS",""
"B7000","713805","18308 SIERRA WIND CV","233111","233111","80131","80131","152980","152980","233111","233111","2205","2205","R5","R5","2005","2005","PASS",""
"B7000","973277","23404 IRON LANTERN WAY","275018","275018","79072","79072","195946","195946","275018","275018","1595","1595","R5","R5","2024","2024","PASS",""
"D7009","222091","1307 BRIARCLIFF BLVD","420951","420951","182711","182711","238240","238240","420951","420951","1154","1154","R5","R5","1955","1955","PASS",""
"D7009","213753","5401 WATERBROOK DR","503701","503701","181731","181731","321970","321970","503701","503701","1762","1762","R5","R5","1959","1959","PASS",""
"H0851","961067","9513 HAMADRYAS DR","384378","384378","31514","31514","352864","352864","384378","384378","1982","1982","R4","R4","2023","2023","PASS",""
"H0851","925798","8405 SILHOUETTE ST","481381","481381","31918","31918","449463","449463","481381","481381","2387","2387","R4","R4","2020","2020","PASS",""
"H0851","861698","7005 GARNET MILL LN","583963","583963","32878","32878","551085","551085","583963","583963","3142","3142","R4","R4","2016","2016","PASS",""
"O22000","372731","6901 AUCKLAND DR","594294","594294","320000","320000","274294","274294","594294","594294","2414","2414","R4","R4","1995","1995","PASS",""
"O22000","512799","6704 WALEBRIDGE LN","711352","711352","387040","387040","324312","324312","711352","711352","2425","2425","R4","R4","2003","2003","PASS",""
"O22000","381847","5700 BACK BAY LN","888047","888047","536247","536247","351800","351800","876423","876423","2767.5","2767","R4","R4","1996","1996","PASS_DISPLAY_PRECISION","Bulk source retains 0.5 sq ft; TCAD portal truncates visible area to whole sq ft."
"R38000","143616","14714 LONG BRANCH DR","345482","345482","154065","154065","191417","191417","339448","339448","1306","1306","R5","R5","1985","1985","PASS",""
"R38000","146850","14537 HUNTERS PASS","481336","481336","153757","153757","327579","327579","481336","481336","2611","2611","R5","R5","2004","2004","PASS",""
"R38000","149849","3011 GERONIMO TRL","708794","708794","250151","250151","458643","458643","708794","708794","2310.5","2310","R4","R4","2005","2005","PASS_DISPLAY_PRECISION","Bulk source retains 0.5 sq ft; TCAD portal truncates visible area to whole sq ft."
"S1000","178126","5609 CLUB HOUSE DR","319983","319983","37510","37510","282473","282473","319983","319983","1312","1312","R5","R5","1985","1985","PASS",""
"S1000","175901","21503 LAKEFRONT DR","387216","387216","89112","89112","298104","298104","387216","387216","2530","2530","R5","R5","1983","1983","PASS",""
"S1000","159668","2302 GRANT LN","487002","487002","71536","71536","415466","415466","487002","487002","2481","2481","R5","R5","2001","2001","PASS",""
"T2450","736206","1301 ROARING FORK","1160212","1160212","242762","242762","917450","917450","1160212","1160212","4302.5","4302","R3","R3","2008","2008","PASS_DISPLAY_PRECISION","Bulk source retains 0.5 sq ft; TCAD portal truncates visible area to whole sq ft."
"T2450","736302","1104 PAW PRINT","1285275","1285275","357492","357492","927783","927783","1285275","1285275","4410","4410","R3","R3","2014","2014","PASS",""
"T2450","830928","701 DREAM CATCHER DR","1561360","1561360","547844","547844","1013516","1013516","1239110","1239110","3470","3470","R3","R3","2014","2014","PASS",""
"U2040","457958","7300 ELLAVIEW LN","777212","777212","494706","494706","282506","282506","777212","777212","2670","2670","R4","R4","2002","2002","PASS",""
"U2040","360570","5813 LINARIA LN","902898","902898","520943","520943","381955","381955","902898","902898","3061","3061","R4","R4","1994","1994","PASS",""
"Y4000","124386","4811 WEST PARK DR","581000","581000","388795","388795","192205","192205","581000","581000","1380","1380","R5","R5","1950","1950","PASS",""
"Y4000","241225","3204 SILVERLEAF DR","681443","681443","393935","393935","287508","287508","681443","681443","2119","2119","R5","R5","1967","1967","PASS",""
"Y4000","241239","3102 MCELROY DR","807769","807769","396429","396429","411340","411340","807769","807769","2282","2282","R5","R5","1966","1966","PASS",""
