area,current,recommendation
Header / logo / navigation,"ParcelSavvy; Search; About; Support us; TRAVIS COUNTY, TEXAS; County Appraisal District…",Keep the named navigation and county scope. Consider shortening the secondary line to Travis Central Appraisal District (TCAD); the current prefix repeats Appraisal District. Desktop legible; mobile pending.
Hero,"Property assessments, explained / What happened to your property appraisal? / See how the Appraisal District valued your home…",Clear homeowner framing. Keep. Test this question against all seasonal phases rather than hardcoding a completed-protest narrative.
Search field,"Property address or property ID / Enter an address or property ID / Search / A partial address works, too.","Clear and consistently labeled. Fix full-address normalization. Until fixed, optional temporary helper: Start with the street address, or enter the TCAD property ID."
Suggestion states,Finding matching addresses… / No matching addresses yet. Add a street name or check the spelling. / Keep typing to narrow the list…,Loading and narrowing are helpful. Use property-aware wording where IDs are accepted. A failed request must not reuse the no-matches message.
Example card,"Example only / Fictional values… / 2026 certified market value / $612,000 / $38,000 below preliminary / Protest record: Found / $21,000 lower","Fictional status is appropriately prominent. Suggested wording: $38,000 below the initial proposed value. This clarifies preliminary without implying tax savings or causation."
Release banner,"2026 certified results are available / Current through Jul 18, 2026","Matches displayed certified export. Prefer Certified values: Jul 18, 2026, so a single snapshot date does not imply every protest/source feed is current only through that date. Verify supplemental-source metadata separately."
Questions intro,"Start with the questions you actually have. / Clear answers, visible source dates, and candid limits…","Keep the homeowner benefit. Shorter optional copy: Understand the records, with source dates and limitations explained."
Question 1,Did my home’s value change after the first appraisal notice?,"Clear. Keep, provided the underlying starting release is correctly identified."
Question 2,"Was a protest filed for my home, and was its value lowered?","If inferred protests are included, consider Does the available record show a protest or a value reduction? Keep confirmed filings distinguishable from inference."
Question 3,How does my home’s value compare with similar homes?,Clear. Keep. Similarity criteria and approximate adjustments belong on the destination.
Question 4,What happened to home values in my local neighborhood?,Clear. Keep. Destination should explain the TCAD neighborhood boundary and denominators.
Question 5,Are my home’s details and property tax exemptions correct?,Avoid implying the site can certify correctness. Suggested: What property details and exemptions are on file for my home?
Support section,Useful property information shouldn’t disappear behind a paywall. / core homeowner tools… / Use everything first…,"Donation model is clear; content reads consistently with optional support. Large heading and side card consume a substantial section; optional tightening, not a functional defect."
Support card,Help keep ParcelSavvy open / Support ParcelSavvy / Optional contributions…,CTA has a visible title and links to support. Disclosure visible. Legal/tax assertions were not independently reviewed as part of UI QA.
Trust section,Independent by design. Built for homeowners. / Independent perspective / Answers in plain language / You decide what comes next,"Clear, measured language; no savings promise. Keep. It is not enough to serve as the Data & methodology destination."
Closing CTA,Know your property. Understand your assessment. / Start with an address or property ID. / Search my property ↑,Clear and aligned visually. Fix keyboard focus transfer.
Footer description / headings,Independent property-assessment context… not a tax bill / Explore / ParcelSavvy / Legal & access,Appropriate scope and caution; columns visually readable. Keep consistent Appraisal District naming and sentence case.
Footer links / final row,Property search / Data & methodology / Homeowner questions / About ParcelSavvy / Contact / Suggest a feature or metric / Report a data issue / Support ParcelSavvy / Privacy policy / Terms of use / Accessibility / Official Appraisal District search / copyright / TCAD’s website,Links have names. Fix methodology destination and orphan arrow. Suggestion control has more vertical space/underlining than adjacent links; optional style normalization while preserving focus and target size.
Result heading / summary,Search Travis County property records / Matching properties / Matches for… Showing… / Source: Appraisal District · 2026 Certified,Clear. Consider Showing 1–20 of 38 only if total count is inexpensive and trustworthy. Current more-results wording is honest.
Result source timestamp,Appraisal District export: 07/18/2026 16:27,Prefer human-readable source date; show timestamp/time zone in expandable details if time matters. Do not invent a timezone.
Result rows / help,"Property / Market value / address, ZIP, ID, Real property / tooltip",Names and currency are clear. Fix header baseline. City is sometimes absent; preserve source limitations rather than inventing city. Real property is jargon that could be omitted if all results are already restricted to that class.
Fuzzy / empty / pagination,Possible matches / similar street spelling caution / No matching addresses found / Page 1 / Next / Previous,Fuzzy caution is useful. Fix no-results ID wording; replace No matches on this page with No matches found when it is the first page of a truly empty result set.
Feedback dialog,"What would help you? / I’d like to suggest / What would you like to see? / 10–2,000 characters… / Send suggestion",Plain and clear; privacy note and optional identity are explicit. Success/error wording and submission validation remain untested.
