id,area,priority,suite,steps,expected,status,actual,evidence
H01,Home,P1,Smoke,Open the base URL in a fresh desktop tab.,"Home renders with one H1, visible address/ID input, named Search button, example and footer.",PASS,Observed at 1363 × 936 CSS pixels.,qa-home-desktop.jpg
H02,Home,P2,Full,Inspect every home section and the footer at the baseline desktop size.,"No clipped text, overlap or horizontal page scroll. Main content follows consistent gutters.",PASS,No horizontal overflow; readable desktop sections. Separate specific alignment defects recorded below.,qa-home-desktop.jpg; qa-home-support.jpg; qa-home-footer.jpg
H03,Copy,P2,Full,Read all visible home copy against the approved content inventory.,"Meaning, spelling, terminology and CTAs are consistent; examples are clearly fictional.",PASS,No obvious spelling error; example is explicitly fictional. Recommendations are in the copy review.,home-copy.txt
H04,Home,P2,Full,Inspect the active release banner and compare with data-release metadata.,"Year, phase and source dates match approved data metadata and are clearly scoped.",PARTIAL,2026 certified and Jul 18 agree with search labels; authoritative import metadata was not queried.,qa-home-desktop.jpg
H05,Navigation,P2,Full,"Activate header Search, About and Support us; inspect destinations.","Each link reaches a relevant, visible section without obscuring its heading.",PASS,All three clicked and relevant sections observed. Settled Search input top=52.7 px; About section top=174.8 px.,home-copy.txt; observations-notes.md
H06,Navigation,P2,Smoke,Activate footer Data & methodology.,"Destination explains sources, calculation methods and limitations or links to that information.",FAIL,"Lands on Independent by design introductory text, not methodology. F02.",qa-home-footer.jpg
H07,Navigation,P2,Full,Activate Homeowner questions.,Reaches the homeowner-question section.,PASS,Target contains all five homeowner questions.,home-copy.txt
H08,Navigation,P2,Full,Activate Search my property using the keyboard; inspect focus.,Scrolls to search and puts keyboard focus on the search input.,FAIL,Scrolls to search but document.activeElement remains the CTA link. F06.,observations-notes.md
H09,UI alignment,P3,Full,Inspect the footer external TCAD link at 1363 × 936.,Arrow stays with the link label and does not form an orphan line.,FAIL,Official Appraisal District search arrow appears on a separate line. F04.,qa-home-footer.jpg
H10,UI alignment,P3,Full,Compare vertical text positions of Property and Market value column headers.,Header text baselines align; currency column aligns with header.,FAIL,Text tops 465.953 and 478.953 pixels: 13 px vertical mismatch. F03.,qa-results-desktop.jpg; observations-notes.md
H11,Navigation,P1,Smoke,"Open Contact, Report a data issue, Support, Privacy, Terms and Accessibility from their observed footer URLs.",All six destinations render relevant content without 404 or app errors.,PASS,"All six loaded. This is a destination smoke test, not legal-content approval.",observations.json
H12,Navigation,P2,Full,Follow Support → Continue to secure checkout; inspect destination without paying.,Approved Stripe destination loads; no contribution is charged.,PASS,"Configured Stripe URL loaded Systems & Sense, LLC / Support ParcelSavvy checkout with $10 displayed. No information entered and no payment submitted.",observations-notes.md
H13,Navigation,P2,Full,Open each official TCAD footer link.,Reaches the official property-search destination.,PASS,Both share the same URL. Destination resolved to https://traviscad.org/propertysearch and rendered PROPERTY SEARCH with an official search link.,observations-notes.md
H14,Feedback,P2,Full,Open Suggest a feature or metric; press Escape.,"Named dialog opens, Close receives focus, Escape closes, focus returns to trigger.",PASS,All observed; no suggestion was submitted.,observations-notes.md
H15,Feedback,P2,Full,"In a disposable test environment, submit blank, 9, 10, 2000 and 2001 characters; test success/error.",Validation boundaries work; success appears once; error retains text and allows retry.,NOT RUN,No external messages or feedback records created.,
S01,Search,P1,Smoke,Search 1104 Paw Print by clicking Search.,"Includes 1104 PAW PRINT, ID 736302; selected property remains consistent.",PASS,One result: ID 736302.,observations.json
S02,Search,P1,Smoke,Search property ID 736302.,Returns the same property as the street address.,PASS,"ID 736302, $1,285,275 in displayed 2026 certified snapshot.",observations.json
S03,Search,P1,Smoke,Search 1104 Paw.,Partial address returns ID 736302.,PASS,One correct matching result.,observations-notes.md
S04,Search,P2,Full,"Search ""  1104 paw print  "".",Case and leading/trailing spaces do not alter property identity.,PASS,Query trimmed; ID 736302 returned.,observations.json
S05,Search,P2,Full,"Search ""1104  Paw   Print"".",Repeated internal spaces normalize and return ID 736302.,PASS,ID 736302 returned.,observations.json
S06,Search,P1,Smoke,"Search ""1104 Paw Print, Leander, TX 78641"".",Pasted full address returns ID 736302.,FAIL,No matches in suggestions or submitted results. F01.,observations.json
S07,Search,P1,Full,"Compare ""1104 Paw Print Leander TX"" with ""1104 Paw Print Leander 78641"".",Both return ID 736302.,FAIL,"TX variant returns no matches; city+ZIP variant returns correct property. State-token handling is implicated, not proven from code. F01.",observations.json
S08,Search,P2,Full,"Search ""1104 Paw Print,""; ""1104 Paw Print Leander""; ""1104 Paw Print 78641"".","Punctuation, city and ZIP variants return ID 736302.",PASS,All three returned correct property.,observations.json
S09,Search,P2,Full,Search West 36th Street and W 36 St; compare ordered IDs.,"Directional, suffix and ordinal variants return consistent results.",PASS,Both first pages show the same 20 IDs beginning 121385; expanded search has 38 results across two pages.,observations.json
S10,Search,P2,Smoke,Search 1104 Paw Prnit.,Typo recovery proposes the correct property and clearly labels approximate matches.,PASS,Possible matches and caution displayed; ID 736302 returned.,observations.json
S11,Search,P2,Full,Search 1905 W 36 St Unit B and 1905 W 36 St #B.,"Both return unit B, ID 799047, without substituting unit A.",PASS,"Both returned unit B, ID 799047.",observations.json
